Company_Name,Contact_Person,Email,Phone,Address,Country,Specialization,Established_Year,Material_Categories
Garlock Sealing Technologies,,GSTinfo@garlock.com,+1 315 597 4811,"1666 Division St, Palmyra",USA,Manufacturer of fluid sealing products and gaskets,,Seals
ITT Engineered Valves,,valves@itt.com,+1 717 509 2200,"33 Centerville Road, Lancaster",USA,Manufacturer of industrial knife gate and diaphragm valves,1903,Valves
Lamons Gasket Company,,info@lamons.com,+1 713 222 0284,"7300 Port Northwest Dr, Houston",USA,Manufacturer of industrial gaskets and fasteners,1947,Fasteners
MRC Global Inc.,,info@mrcglobal.com,+1 877 294 7574,"1301 McKinney St, Suite 2300",USA,Distributor of pipe,1921,Fittings
Milwaukee Valve Company,,mvc@milwaukeevalve.com,+1 262 432 2700,"16550 W Stratton Dr, New Berlin",USA,Manufacturer of bronze,1901,Valves
Mueller Co. (Mueller Water Products,,international@muellerwp.com,+1 217 528 4477,"1200 Abernathy Rd, Suite 1200",USA,Manufacturer of water valves,,Hydrants
NIBCO Inc.,,marketing@nibco.com,+1 574 295 3000,"1516 Middlebury Street, Elkhart",USA,Manufacturer of flow control products including valves and fittings,1904,Fittings
Parker Hannifin Corporation,,c-poit@parker.com,+1 216 896 3000,"6035 Parkland Blvd, Cleveland",USA,Manufacturer of motion control and instrumentation products,1917,Instrumentation
Swagelok Company,,info@swagelok.com,+1 440 248 4600,"29500 Solon Rd, Solon",USA,Manufacturer of tube fittings,1947,Valves
The Wm. Powell Company (Powell Valves),,sales@powellvalves.com,+1 513 852 2000,"2503 Spring Grove Ave, Cincinnati",USA,Manufacturer of industrial gate,2000,Valves
ValvTechnologies,,info@valv.com,+1 713 860 0400,"5904 Bingle Rd, Houston",USA,Manufacturer of severe service metal-seated ball valves,1987,Valves
Victaulic Company,,info@victaulic.com,+1 610 559 3300,"4901 Kesslersville Road, Easton",USA,Inventor and manufacturer of grooved piping couplings and joints,1919,Pipe Fittings
Babcock Valves,Managing Director,contact@babcockvalves.com,+44 20 012 3456,"Church Street 123, EC1A London",United Kingdom,Valve Supplier for Oil and Gas Industry,1967,Valves
Flexitallic UK Ltd.,,contactus@flexitallic.eu,+44 1274 851273,"Scandinavia Mill, Hunsworth Lane",United Kingdom,Designer and supplier of industrial sealing solutions,1912,Gaskets
IMI plc (Critical Engineering),,info@imi-critical.com,+44 121 717 3700,"4060 Lakeside, Solihull Parkway",United Kingdom,Manufacturer of severe service control valves (CCI,,Valves
James Walker Group,Export Manager,sales@jameswalker.com,+44 1270 123 4567,"Victoria Road 45, SL4 Maidenhead",United Kingdom,Industrial Equipment Supplier,2020,Gaskets
Rotork plc,,mail@rotork.com,+44 1225 733200,"Brassmill Lane, Bath BA1 3JQ",United Kingdom,Manufacturer of valve actuators and flow control solutions,1957,Control Valves
Spirax-Sarco Engineering plc,Nimesh Patel,lets.talk@uk.spiraxsarco.com,+44 1242 535000,"Charlton House, Cirencester Road",United Kingdom,Industrial Equipment Supplier,,Valves
Tata Steel Europe,Business Development Manager,sales@tatasteeleurope.com,+44 20 7717 4444,"30 Millbank, London SW1P 4WY",United Kingdom,Steel Products Manufacturer,1907,Flanges
